zone_code,event_count,mean_predicted_score,max_predicted_score,min_predicted_score,high_risk_event_count,medium_risk_event_count,low_risk_event_count,high_risk_event_ratio,mean_absolute_error,mean_rain_24h_mm,max_rain_24h_mm,mean_gpm_precipitation_sum,mean_built_surface_mean,mean_population_sum,dominant_risk_class
NSR-GRID-157,30,0.5140936814924663,0.8585231203571497,0.3907402187741037,5,25,0,0.16666666666666666,0.0043251532569447875,10.506666666666668,44.9,0.0,3878.1947650453417,0.0,medium
NSR-GRID-158,30,0.5391412849268485,0.8823501070988874,0.4161654024168382,5,25,0,0.16666666666666666,0.004092881697419662,10.506666666666668,44.9,0.0,4312.3159521846665,0.0,medium
NSR-GRID-159,30,0.4962708043120415,0.838664819520133,0.3723150961871255,5,25,0,0.16666666666666666,0.005427725195943974,10.506666666666668,44.9,0.0,4316.911321922046,0.0,medium
NSR-GRID-160,30,0.5593728490690512,0.9006633592250072,0.4378971387416862,6,24,0,0.2,0.003927344444233754,10.506666666666668,44.9,0.0,4269.007630439267,0.0,medium
NSR-GRID-161,30,0.47925450072884707,0.8197387694517314,0.3574006493749013,5,25,0,0.16666666666666666,0.004066220706077538,10.506666666666668,44.9,0.0,3389.4563827593333,0.0,medium
NSR-GRID-162,30,0.40616225537739925,0.7470912571541223,0.2827595108419282,3,17,10,0.1,0.005030275778450604,10.506666666666668,44.9,0.0,2447.401649484537,0.0,medium
NSR-GRID-163,30,0.47620079595454745,0.8178079436037795,0.3536786846725547,5,25,0,0.16666666666666666,0.003902936137332628,10.506666666666668,44.9,0.0,3208.920824742267,0.0,medium
NSR-GRID-164,30,0.5127590513778918,0.8540549294580575,0.3906301091047548,5,25,0,0.16666666666666666,0.004203354676238711,10.506666666666668,44.9,0.0,3814.4900020614314,0.0,medium
NSR-GRID-165,30,0.5505474563936186,0.8923101794872315,0.4284451025903842,5,25,0,0.16666666666666666,0.0041304993441479395,10.506666666666668,44.9,0.0,4411.474237427867,0.0,medium
NSR-GRID-166,30,0.5199828371637575,0.8590138493472298,0.3988440833380697,5,25,0,0.16666666666666666,0.004113800973487612,10.506666666666668,44.9,0.0,3816.9022680412395,0.0,medium
NSR-GRID-167,30,0.5016671684838193,0.8443120634759407,0.3786586210262308,5,25,0,0.16666666666666666,0.004569835992996956,10.506666666666668,44.9,0.0,3936.366185567011,0.0,medium
NSR-GRID-168,30,0.4846712800627972,0.8263001227879548,0.3616023297470285,5,25,0,0.16666666666666666,0.004323281098193014,10.506666666666668,44.9,0.0,3875.7074226804125,0.0,medium
NSR-GRID-169,30,0.43542177180585284,0.775036315580413,0.3137757842043143,4,16,10,0.13333333333333333,0.003944884448575962,10.506666666666668,44.9,0.0,2881.7581941867675,0.0,medium
NSR-GRID-170,30,0.39326058723467905,0.7330034358357754,0.2712086365699964,3,16,11,0.1,0.0039997128061151415,10.506666666666668,44.9,0.0,2152.167765869745,0.0,medium
NSR-GRID-171,30,0.2846451819329164,0.6263496386974629,0.1642597206812505,0,7,23,0.0,0.0046460179041984,10.506666666666668,44.9,0.0,489.299938157081,0.0,low
NSR-GRID-172,30,0.28034559404742787,0.6231477572131371,0.1594653767543897,0,7,23,0.0,0.00410789013835199,10.506666666666668,44.9,0.0,47.99999999999999,0.0,low
NSR-GRID-173,30,0.2636251531145677,0.6040541406181029,0.143625954570948,0,7,23,0.0,0.00473172629890138,10.506666666666668,44.9,0.0,245.8716387620497,0.0,low
NSR-GRID-174,30,0.48831315447746815,0.830341899279248,0.3658399855828852,5,25,0,0.16666666666666666,0.003913058972533527,10.506666666666668,44.9,0.0,3306.10628742515,0.0,medium
NSR-GRID-175,30,0.562899983999679,0.9042632952343592,0.4413613781004555,6,24,0,0.2,0.003980774732651579,10.506666666666668,44.9,0.0,4004.2948283170826,0.0,medium
NSR-GRID-176,30,0.5435135622226805,0.8858593530131382,0.4222923621233384,5,25,0,0.16666666666666666,0.00395893008069532,10.506666666666668,44.9,0.0,4029.709684255139,0.0,medium
NSR-GRID-177,30,0.5349023068667972,0.8756826631981088,0.4131239374497463,5,25,0,0.16666666666666666,0.004077803102894742,10.506666666666668,44.9,0.0,3807.5911403136906,0.0,medium
NSR-GRID-178,30,0.5254044274528453,0.8689098267290604,0.4030385904617677,5,25,0,0.16666666666666666,0.004186236843898546,10.506666666666668,44.9,0.0,4038.576515472656,0.0,medium
NSR-GRID-179,30,0.5213330385093037,0.8653668623849677,0.3980746484135552,5,25,0,0.16666666666666666,0.004275512729711412,10.506666666666668,44.9,0.0,3946.596948506038,0.0,medium
NSR-GRID-180,30,0.483209417593247,0.82280095993929,0.3609704400271121,5,25,0,0.16666666666666666,0.004312137584973465,10.506666666666668,44.9,0.0,4125.006991525425,0.0,medium
NSR-GRID-181,30,0.47566228169267327,0.8177706697574103,0.3512352088706303,5,25,0,0.16666666666666666,0.005641549237243621,10.506666666666668,44.9,0.0,3901.906819144429,0.0,medium
NSR-GRID-182,30,0.5811116182889923,0.9198377444537305,0.461267277269113,7,23,0,0.23333333333333334,0.0049952224829067395,10.506666666666668,44.9,0.0,4226.928601694915,0.0,medium
NSR-GRID-183,30,0.5226655416017895,0.8622531036443775,0.4017511199110424,5,25,0,0.16666666666666666,0.004087900876872471,10.506666666666668,44.9,0.0,3833.28883237974,0.0,medium
NSR-GRID-184,30,0.5318485095506591,0.8708099038861733,0.4107656466672202,5,25,0,0.16666666666666666,0.004242342184411841,10.506666666666668,44.9,0.0,3791.6401780038136,0.0,medium
NSR-GRID-185,30,0.4566006193798228,0.7943470462534341,0.3359529499336512,4,26,0,0.13333333333333333,0.004479108253817737,10.506666666666668,44.9,0.0,3020.1015045560493,0.0,medium
NSR-GRID-186,30,0.5042538651739819,0.8478194234760366,0.3798223984334146,5,25,0,0.16666666666666666,0.0052898342534929916,10.506666666666668,44.9,0.0,4129.9813519813515,0.0,medium
NSR-GRID-187,30,0.5585738236333363,0.9003702291154884,0.4367353492395606,6,24,0,0.2,0.003592629356292898,10.506666666666668,44.9,0.0,4528.655084745764,0.0,medium
NSR-GRID-188,30,0.5626971434531212,0.9031488723933933,0.4415986174085819,6,24,0,0.2,0.004099579074426169,10.506666666666668,44.9,0.0,4490.558262711862,0.0,medium
NSR-GRID-189,30,0.5526534831126678,0.8935085607043908,0.4310010192056943,5,25,0,0.16666666666666666,0.004192488018934149,10.506666666666668,44.9,0.0,4186.853420885406,0.0,medium
NSR-GRID-190,30,0.4840565010546917,0.8226004881167087,0.3628543246378194,5,25,0,0.16666666666666666,0.004341891292591228,10.506666666666668,44.9,0.0,3266.487923728813,0.0,medium
NSR-GRID-191,30,0.3946090012543276,0.735034710814183,0.2738174244007011,3,16,11,0.1,0.003892417933691861,10.506666666666668,44.9,0.0,1984.7010593220339,0.0,medium
NSR-GRID-192,30,0.28562914648653565,0.6291835226869015,0.1646136475404156,0,7,23,0.0,0.004113360659141013,10.506666666666668,44.9,0.0,345.40856113583374,0.0,low
